news_id,embargo_date,organisation_name,news_type,news_subject,news_summary
2022100500028,05/10/2022 06:45:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Zamarad Assets Berhad & Al Dzahab Assets Berhad,"RAM Ratings upgrades Class B under Zamarad's Tranche 3 and 5 sukuk, reaffirms ratings of Zamarad's Tranche 2 sukuk and Al Dzahab's Tranche 1 and 2"
2022100500020,05/10/2022 05:00:00 PM,RHB INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Pasukhas Green Assets Sdn Bhd (the ''Issuer''),ASEAN Green SRI Sukuk Programme of RM200.0 Million in nominal value  Outcome Resolution in Writing
2022100500024,05/10/2022 05:00:00 PM,PUBLIC INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,LBS BINA HOLDINGS SDN BHD (''Issuer''),ISLAMIC MEDIUM TERM NOTES (''SUKUK MURABAHAH'') PURSUANT TO A SUKUK MURABAHAH PROGRAMME OF UP TO RM500.0 MILLION IN NOMINAL VALUE (''SUKUK MURABAHAH PROGRAMME'')
2022100500011,05/10/2022 12:00:00 PM,RHB INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Jelas Puri Sdn. Bhd. (the ''Issuer''),Early Partial Redemption of Medium Term Notes (''MTNs'') on 5 October 2022
2022100500010,05/10/2022 11:00:00 AM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Johor Port Berhad (''Issuer''),Unrated Islamic Medium Term Notes Programme of up to RM1.0 Billion in nominal value: Early Redemption on 5 October 2022
2022100500009,05/10/2022 10:30:36 AM,BANK NEGARA MALAYSIA,TENDER CANCELLATION,Tender Cancellation for Tender 202200002267,
2022100500001,05/10/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022100400031,04/10/2022 07:45:00 PM,MAYBANK INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,Perangsang Capital Sdn Bhd,"RM500 Million Islamic Medium Term Notes Programme : Notice of Early Redemption of All Outstanding Sukuk Murabahah on October 31, 2022"
2022100400019,04/10/2022 01:00:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,APM Automotive Holdings Berhad,RAM Ratings reaffirms APM's sukuk ratings
2022100400001,04/10/2022 09:30:00 AM,BANK NEGARA MALAYSIA,GENERAL ANNOUNCEMENT,BNM's Securities List,Any interest by interbank institutions on the securities listed below must be communicated to BNM before 2.30pm
2022100400002,04/10/2022 09:05:00 AM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,SIME DARBY PLANTATION BERHAD,MARC RATINGS AFFIRMS RATINGS ON SIME DARBY PLANTATION
2022100300039,03/10/2022 05:15:00 PM,RAM RATING SERVICES BERHAD,RATING ANNOUNCEMENT,Sabah Development Bank Berhad,RAM Ratings withdraws rating of Sabah Development Bank's RM1.0 bil MTN Programme (2012/2032) following early termination
2022100300032,03/10/2022 03:50:00 PM,HONG LEONG INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,AC FIRST GENESIS BERHAD (''ACFGB'' OR THE ''ISSUER''),RM3.0 BILLION SUKUK IJARAH PROGRAMME
2022100300017,03/10/2022 03:30:00 PM,HONG LEONG INVESTMENT BANK BERHAD,NEWS FROM MEMBERS,AC FIRST GENESIS BERHAD (''ACFGB'' OR THE ''ISSUER''),RM3.0 BILLION SUKUK IJARAH PROGRAMME
2022100300024,03/10/2022 03:10:00 PM,MARC RATINGS BERHAD,RATING ANNOUNCEMENT,Malaysia Steel Works (KL) Bhd,MARC RATINGS AFFIRMS AAAIS(FG) RATING ON MASTEEL'S RM130.0 MILLION GUARANTEED SUKUK IJARAH PROGRAMME
